City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,henryetta,35.4398,-95.9819,17.01,52,99,6.92,US,1697212689
1,chichimila,20.6167,-88.2167,31.03,57,94,2.56,MX,1697212689
2,blackmans bay,-43.0167,147.3167,10.07,84,100,0.89,AU,1697212690
3,kamaishi,39.2667,141.8833,14.12,77,43,3.58,JP,1697212690
4,waitangi,-43.9535,-176.5597,12.12,91,2,3.13,NZ,1697212690
5,aginskoye,51.1,114.53,9.67,54,94,2.89,RU,1697212690
6,adamstown,-25.066,-130.1015,20.39,72,100,5.35,PN,1697212690
7,thompson,55.7435,-97.8558,6.09,93,0,2.06,CA,1697212661
8,qaqortoq,60.7167,-46.0333,5.55,55,16,1.31,GL,1697212690
9,calama,-22.4667,-68.9333,26.27,3,0,2.06,CL,1697212690
10,deschutes river woods,43.9915,-121.3584,9.27,79,0,2.06,US,1697212691
11,bredasdorp,-34.5322,20.0403,15.76,71,13,4.64,ZA,1697212691
12,bubaque,11.2833,-15.8333,27.09,76,100,5.84,GW,1697212691
13,copala,16.65,-98.9833,28.49,73,21,1.93,MX,1697212691
14,edinburgh of the seven seas,-37.0676,-12.3116,14.87,97,100,11.84,SH,1697212691
15,santa ana de yacuma,-13.75,-65.4333,27.97,57,75,6.17,BO,1697212691
16,whitehorse,60.7161,-135.0538,7.43,82,75,6.71,CA,1697212394
17,puerto natales,-51.7236,-72.4875,13.25,47,40,9.26,CL,1697212691
18,pico truncado,-46.7949,-67.9573,15.5,29,93,2.82,AR,1697212692
19,cabo san lucas,22.8909,-109.9124,28.75,56,6,3.97,MX,1697212620
20,tura,25.5198,90.2201,21.73,78,0,1.05,IN,1697212623
21,port-aux-francais,-49.35,70.2167,2.45,93,50,10.42,TF,1697212692
22,saint-philippe,-21.3585,55.7679,23.77,80,45,3.16,RE,1697212692
23,constantia,44.1833,28.65,19.38,65,100,1.96,RO,1697212692
24,mount isa,-20.7333,139.5,22.87,15,8,8.75,AU,1697212692
25,krymsk,44.9293,37.9912,16.14,53,43,1.79,RU,1697212692
26,jamestown,42.097,-79.2353,12.48,65,20,2.24,US,1697212693
27,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,73,75,6.71,RU,1697212693
28,wailua homesteads,22.0669,-159.378,22.24,94,0,3.09,US,1697212693
29,papatowai,-46.5619,169.4708,9.3,79,100,2.12,NZ,1697212693
30,invercargill,-46.4,168.35,11.68,71,99,1.34,NZ,1697212242
31,vorgashor,67.5833,63.95,-0.88,75,100,3.16,RU,1697212693
32,grytviken,-54.2811,-36.5092,-0.4,74,62,5.05,GS,1697212693
33,ribeira grande,38.5167,-28.7,19.22,82,75,5.14,PT,1697212693
34,kone,-21.0595,164.8658,19.45,91,14,1.62,NC,1697212694
35,enewetak,11.3474,162.3373,28.19,74,19,2.84,MH,1697212694
36,hawaiian paradise park,19.5933,-154.9731,21.61,93,0,2.06,US,1697212694
37,stanley,54.868,-1.6985,11.7,68,20,9.26,GB,1697212694
38,polovinnoye,54.7914,65.9864,7.39,54,100,8.18,RU,1697212694
39,acarau,-2.8856,-40.12,31.73,57,85,9.38,BR,1697212694
40,novyy urengoy,66.0833,76.6333,0.33,98,100,7.54,RU,1697212508
41,aasiaat,68.7098,-52.8699,-1.59,93,100,7.51,GL,1697212694
42,usakos,-22.0,15.6,27.92,10,0,7.02,NA,1697212695
43,ilulissat,69.2167,-51.1,-0.73,93,100,4.78,GL,1697212695
44,neyyattinkara,8.4,77.0833,26.92,89,72,0.96,IN,1697212695
45,avarua,-21.2078,-159.775,18.03,100,99,1.03,CK,1697212530
46,zima,53.9202,102.0442,4.9,62,99,7.46,RU,1697212695
47,niesky,51.2924,14.8211,21.79,80,100,5.88,DE,1697212695
48,island harbour,50.724,-1.2758,18.99,88,84,3.13,GB,1697212695
49,iqaluit,63.7506,-68.5145,0.85,80,75,1.03,CA,1697212696
50,port-vila,-17.7338,168.3219,23.78,88,40,2.06,VU,1697212696
51,bilibino,68.0546,166.4372,-6.69,95,100,1.57,RU,1697212696
52,udachny,66.4167,112.4,-8.64,78,94,3.04,RU,1697212696
53,rongelap,11.1635,166.8941,28.15,75,99,3.43,MH,1697212696
54,shangqiu,34.45,115.65,17.7,54,24,3.54,CN,1697212696
55,hamilton,39.1834,-84.5333,21.47,63,0,3.6,US,1697212500
56,nuuk,64.1835,-51.7216,3.82,78,100,10.73,GL,1697212697
57,arraial do cabo,-22.9661,-42.0278,23.98,88,75,4.63,BR,1697212553
