City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shakawe,-18.3667,21.85,25.0,39,98,3.1,BW,1697066596
1,bethel,41.3712,-73.414,16.2,74,0,0.0,US,1697066569
2,tralee,52.2704,-9.7026,10.13,91,98,2.62,IE,1697066597
3,arraial do cabo,-22.9661,-42.0278,22.92,94,0,5.66,BR,1697066597
4,isafjordur,66.0755,-23.124,0.94,85,100,13.27,IS,1697066597
5,hithadhoo,-0.6,73.0833,27.35,73,13,6.75,MV,1697066597
6,mejit,10.2753,170.8646,28.25,72,86,6.03,MH,1697066597
7,caleta de carquin,-11.0925,-77.6267,19.41,82,82,5.31,PE,1697066597
8,margate,51.3813,1.3862,15.73,88,100,0.89,GB,1697066598
9,port macquarie,-31.4333,152.9167,26.05,59,7,4.96,AU,1697066598
10,margaret river,-33.95,115.0667,10.32,80,5,3.94,AU,1697066598
11,alice springs,-23.7,133.8833,26.75,17,3,0.0,AU,1697066598
12,vorgashor,67.5833,63.95,-0.36,84,100,0.37,RU,1697066598
13,adamstown,-25.066,-130.1015,20.64,67,64,4.13,PN,1697066598
14,lompoc,34.6391,-120.4579,26.68,69,0,12.52,US,1697066598
15,afaahiti,-17.75,-149.2833,28.93,80,56,6.54,PF,1697066598
16,queenstown,-31.8976,26.8753,17.17,70,100,1.42,ZA,1697066599
17,puerto natales,-51.7236,-72.4875,4.35,86,94,5.54,CL,1697066599
18,quellon,-43.1167,-73.6167,7.99,77,61,6.27,CL,1697066599
19,port-aux-francais,-49.35,70.2167,2.64,78,91,4.92,TF,1697066563
20,ust-nera,64.5667,143.2,-10.44,91,100,1.34,RU,1697066599
21,bilibino,68.0546,166.4372,-6.69,85,100,1.79,RU,1697066599
22,fort mcmurray,56.7268,-111.381,17.77,48,0,6.17,CA,1697066509
23,grytviken,-54.2811,-36.5092,-3.79,79,63,5.29,GS,1697066562
24,ebon,4.582,168.6964,28.84,71,84,2.28,MH,1697066599
25,el granada,37.5027,-122.4694,23.29,60,0,9.26,US,1697066594
26,hermanus,-34.4187,19.2345,15.51,86,67,1.68,ZA,1697066600
27,malvan,16.0667,73.4667,26.36,86,100,2.77,IN,1697066600
28,lihue,21.9789,-159.3672,31.58,68,20,6.17,US,1697066600
29,puerto cabezas,14.0351,-83.3888,30.98,79,75,2.06,NI,1697066600
30,georgetown,5.4112,100.3354,25.53,94,40,1.54,MY,1697066398
31,stanley,54.868,-1.6985,5.43,90,0,3.09,GB,1697066563
32,waitangi,-43.9535,-176.5597,14.34,83,90,3.58,NZ,1697066601
33,ivanteyevka,55.9711,37.9208,5.4,78,100,1.34,RU,1697066601
34,freetown,8.484,-13.2299,26.1,87,100,2.21,SL,1697066589
35,bredasdorp,-34.5322,20.0403,14.64,94,31,1.81,ZA,1697066601
36,selkirk,50.1436,-96.8845,10.65,72,31,0.89,CA,1697066576
37,papatowai,-46.5619,169.4708,10.89,61,90,8.0,NZ,1697066601
38,mili,6.0815,171.735,28.94,72,41,2.76,MH,1697066587
39,kristiansund,63.1115,7.732,6.36,81,75,6.17,NO,1697066602
40,bahia de kino,28.8333,-111.9333,34.95,44,0,5.37,MX,1697066602
41,tahe,52.3333,124.7333,6.69,71,12,2.17,CN,1697066602
42,utrik,11.2278,169.8474,28.44,71,37,6.42,MH,1697066602
43,pembury,51.143,0.3219,16.4,40,100,2.9,GB,1697066602
44,port isabel,26.0734,-97.2086,25.05,93,100,3.6,US,1697066602
45,blackmans bay,-43.0167,147.3167,12.63,85,67,4.18,AU,1697066570
46,khandyga,62.6667,135.6,0.74,99,98,3.87,RU,1697066603
47,puerto armuelles,8.2833,-82.8667,27.27,74,92,2.24,PA,1697066603
48,sandnessjoen,66.0217,12.6316,3.29,78,100,4.17,NO,1697066603
49,anadyr,64.75,177.4833,2.28,69,75,13.0,RU,1697066585
50,haiku-pauwela,20.9219,-156.3051,28.98,58,20,7.72,US,1697066578
51,puerto ayora,-0.7393,-90.3518,24.19,93,97,2.68,EC,1697066603
52,rumbek,6.802,29.6912,21.26,97,100,1.48,SS,1697066603
53,lepsy,46.235,78.9456,17.42,27,16,3.41,KZ,1697066603
54,gadani,25.1185,66.7299,26.12,77,93,4.35,PK,1697066603
55,newman,37.3138,-121.0208,23.13,39,0,5.81,US,1697066604
56,aoulef,26.9667,1.0833,28.14,21,0,9.05,DZ,1697066604
57,atafu village,-8.5421,-172.5159,28.47,74,34,4.89,TK,1697066604
58,tocache,-8.1842,-76.5125,28.7,54,100,0.3,PE,1697066604
59,kailua-kona,19.6406,-155.9956,29.72,66,40,5.14,US,1697066604
60,west island,-12.1568,96.8225,24.99,83,75,5.14,CC,1697066604
61,edinburgh of the seven seas,-37.0676,-12.3116,14.43,94,100,13.82,SH,1697066561
62,enewetak,11.3474,162.3373,28.59,75,44,6.23,MH,1697066604
63,lerwick,60.1545,-1.1494,8.0,67,52,13.94,GB,1697066605
64,carnarvon,-24.8667,113.6333,20.95,49,73,8.79,AU,1697066605
65,navashino,55.5292,42.2003,3.69,55,100,7.84,RU,1697066605
66,sao jose da coroa grande,-8.8978,-35.1478,24.43,78,1,3.64,BR,1697066605
67,lukolela,-1.0605,17.1821,21.65,95,42,0.85,CD,1697066605
68,sisimiut,66.9395,-53.6735,-2.12,76,98,3.41,GL,1697066605
69,port mathurin,-19.6833,63.4167,23.11,77,77,2.55,MU,1697066605
70,san gaspar tonatico,18.7833,-99.6833,21.69,93,98,1.29,MX,1697066606
71,iqaluit,63.7506,-68.5145,-0.15,80,40,3.09,CA,1697066325
72,san angelo,31.4638,-100.437,28.91,47,0,6.17,US,1697066404
73,sitka,57.0531,-135.33,12.94,62,40,3.09,US,1697066606
74,tulun,54.5611,100.5792,7.3,64,33,1.81,RU,1697066606
75,weno,7.4515,151.8468,30.97,79,20,3.09,FM,1697066606
76,fale old settlement,-9.3852,-171.2468,28.44,78,23,7.5,TK,1697066606
77,arak,34.0917,49.6892,17.9,33,100,3.79,IR,1697066607
78,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,73,75,6.71,RU,1697066607
79,cotonou,6.3654,2.4183,26.99,89,40,3.6,BJ,1697066500
80,isangel,-19.55,169.2667,23.06,83,100,0.0,VU,1697066607
81,vernon,50.2581,-119.2691,17.74,57,22,3.58,CA,1697066587
82,longyearbyen,78.2186,15.6401,-6.09,73,20,4.63,SJ,1697066607
83,boundiali,9.5217,-6.4869,22.75,94,51,1.86,CI,1697066607
84,phan thiet,10.9333,108.1,25.36,91,60,1.87,VN,1697066607
85,ushuaia,-54.8,-68.3,4.81,70,75,13.38,AR,1697066578
86,kavieng,-2.5744,150.7967,28.67,74,17,4.01,PG,1697066596
87,hasaki,35.7333,140.8333,17.94,50,10,4.81,JP,1697066608
88,moyynkum,44.2914,72.9469,17.31,35,44,4.62,KZ,1697066427
89,college,64.8569,-147.8028,-1.07,77,100,0.0,US,1697066577
90,yellowknife,62.456,-114.3525,11.9,88,75,2.06,CA,1697066480
91,bel ombre,-4.6167,55.4167,25.91,89,40,1.54,SC,1697066608
92,lebu,-37.6167,-73.65,10.23,78,0,9.76,CL,1697066608
93,flying fish cove,-10.4217,105.6791,24.82,88,75,4.63,CX,1697066609
94,la'ie,21.6477,-157.9253,30.98,62,93,1.79,US,1697066609
95,outjo,-20.1167,16.15,17.81,50,94,3.27,NA,1697066609
96,pedernales,18.0384,-71.744,28.63,74,54,4.42,DO,1697066609
97,san andres,12.5847,-81.7006,29.01,79,40,3.09,CO,1697066609
98,pisco,-13.7,-76.2167,20.03,77,20,7.72,PE,1697066609
99,laredo,27.5064,-99.5075,28.16,61,20,4.12,US,1697066403
100,saipan,15.1355,145.701,27.39,94,75,7.72,MP,1697066610
101,nikologory,56.1413,41.9922,3.0,57,100,7.99,RU,1697066610
102,vila franca do campo,37.7167,-25.4333,19.93,99,49,3.5,PT,1697066610
103,villa gesell,-37.2639,-56.973,7.48,62,25,7.04,AR,1697066610
104,kodiak,57.79,-152.4072,4.73,52,0,5.14,US,1697066610
105,vila velha,-20.3297,-40.2925,23.97,89,20,4.47,BR,1697066610
106,kruisfontein,-34.0033,24.7314,14.94,92,100,1.05,ZA,1697066610
107,punta arenas,-53.15,-70.9167,6.06,75,75,11.83,CL,1697066480
108,solnechnyy,50.7214,136.6319,5.57,69,52,1.33,RU,1697066611
109,port hedland,-20.3167,118.5667,24.03,78,0,0.0,AU,1697066611
110,tiksi,71.6872,128.8694,-4.88,90,98,8.29,RU,1697066611
111,acarau,-2.8856,-40.12,26.22,77,66,7.98,BR,1697066611
112,pandan,14.0453,124.1694,27.94,82,100,2.34,PH,1697066611
113,albany,42.6001,-73.9662,13.46,78,75,1.89,US,1697066568
114,san pedro pochutla,15.7333,-96.4667,30.84,73,70,6.61,MX,1697066611
115,manokwari,-0.8667,134.0833,27.53,76,98,1.12,ID,1697066611
116,ndende,-2.4008,11.3581,23.46,98,99,1.28,GA,1697066612
117,valle de la pascua,9.2155,-66.0073,27.69,65,53,1.34,VE,1697066612
118,sosnovo-ozerskoye,52.5249,111.5418,1.99,88,3,2.52,RU,1697066612
119,nsanje,-16.92,35.262,23.86,69,9,2.54,MW,1697066612
120,thompson,55.7435,-97.8558,10.09,53,75,2.06,CA,1697066612
121,candon,17.1947,120.4517,28.34,78,53,1.74,PH,1697066612
122,iskateley,67.6803,53.1512,1.12,76,10,4.02,RU,1697066612
123,lazaro cardenas,17.9583,-102.2,25.98,89,100,2.2,MX,1697066613
124,namibe,-15.1961,12.1522,20.32,83,75,1.61,AO,1697066613
125,jamestown,42.097,-79.2353,11.4,88,100,1.54,US,1697066317
126,forster,-32.1667,152.5167,21.61,60,6,3.47,AU,1697066585
127,cidreira,-30.1811,-50.2056,17.84,95,100,6.34,BR,1697066613
128,marica,-22.9194,-42.8186,25.97,91,2,4.71,BR,1697066613
129,tambacounda,13.7539,-13.7586,28.03,89,20,1.03,SN,1697066613
130,ubari,26.5921,12.7805,22.19,33,0,3.26,LY,1697066613
131,dunedin,-45.8742,170.5036,13.78,61,97,4.02,NZ,1697066614
132,karratha,-20.7377,116.8463,27.55,43,1,2.07,AU,1697066614
133,badger,64.8,-147.5333,-1.12,76,100,0.45,US,1697066614
134,katsuren-haebaru,26.3369,127.8719,26.21,78,75,3.6,JP,1697066614
135,whitehorse,60.7161,-135.0538,8.39,81,75,2.57,CA,1697066467
136,popondetta,-8.7537,148.2534,30.34,65,93,0.52,PG,1697066571
137,belyy yar,53.6039,91.3903,5.94,87,0,1.0,RU,1697066578
138,basco,20.4487,121.9702,27.43,75,95,11.04,PH,1697066614
139,kargasok,59.0556,80.8572,3.87,96,87,7.15,RU,1697066615
140,mount isa,-20.7333,139.5,28.87,30,87,4.63,AU,1697066568
141,cascais,38.6979,-9.4215,23.62,90,85,3.13,PT,1697066615
142,dudinka,69.4058,86.1778,1.49,93,100,6.71,RU,1697066615
143,zharkent,44.1628,80.0,16.36,28,0,2.59,KZ,1697066615
144,sunchales,-30.944,-61.5615,13.36,63,99,4.08,AR,1697066615
145,keflavik,64.0049,-22.5624,2.24,93,100,11.83,IS,1697066573
146,mahina,-17.5065,-149.489,29.87,62,75,3.6,PF,1697066468
147,lom sak,16.7798,101.2422,24.94,100,40,0.51,TH,1697066616
148,portland,45.5234,-122.6762,18.02,79,75,5.14,US,1697066103
149,port douglas,-16.4833,145.4667,24.11,78,93,6.8,AU,1697066616
150,saltillo,25.4167,-101.0,21.75,65,36,1.34,MX,1697066076
151,horta,38.5333,-28.6333,18.9,86,26,0.89,PT,1697066468
152,macaubas,-13.0194,-42.6986,26.12,39,0,3.27,BR,1697066616
153,wailua homesteads,22.0669,-159.378,31.24,75,20,6.17,US,1697066380
154,shingu,33.7333,135.9833,19.68,69,13,2.77,JP,1697066616
155,ilulissat,69.2167,-51.1,-5.99,86,100,1.54,GL,1697066616
156,porto novo,6.4965,2.6036,26.9,87,82,2.37,BJ,1697066617
157,invercargill,-46.4,168.35,11.68,76,87,7.6,NZ,1697066617
158,ilebo,-4.3167,20.5833,22.66,86,92,0.43,CD,1697066617
